Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,RCOSC_50MHZ
CoreAHBLite_0/matrix4x16/slavestage_7/slave_arbiter/Primitives,7,5,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_1/matrix4x16/masterstage_0/Primitives,97,55,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_1/matrix4x16/masterstage_0/address_decode/Primitives,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_1/matrix4x16/masterstage_0/default_slave_sm/Primitives,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_1/matrix4x16/slavestage_16/Primitives,44,1,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_1/matrix4x16/slavestage_16/slave_arbiter/Primitives,34,6,0,0,0,0,0,0,0,0,0,0,0,0
CoreAPB3_0/Primitives,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAPB3_0/u_mux_p_to_b3/Primitives,141,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreGPIO_1/Primitives,7,11,0,0,0,0,0,0,0,0,0,0,0,0
CoreTimer_0/Primitives,131,118,0,0,0,0,0,0,0,0,0,0,0,0
CoreTimer_1/Primitives,147,118,0,0,0,0,0,0,0,0,0,0,0,0
CoreTimer_2/Primitives,144,118,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/Primitives,38,24,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/Primitives,36,24,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/genblk2.tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/Primitives,25,30,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/genblk2_tx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/genblk3.rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/Primitives,23,30,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/genblk3_rx_fifo/CoreUART_top_COREUART_0_fifo_128x8_pa4/ram128_8_pa4/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/make_CLOCK_GEN/Primitives,24,19,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/make_RX/Primitives,77,40,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/make_TX/Primitives,31,23,0,0,0,0,0,0,0,0,0,0,0,0
MSS_SUBSYSTEM_sb_0/CCC_0/Primitives,0,0,0,0,1,0,0,0,0,1,1,0,0,0
MSS_SUBSYSTEM_sb_0/CORECONFIGP_0/Primitives,45,75,0,0,0,0,0,0,0,0,0,0,0,0
MSS_SUBSYSTEM_sb_0/CORERESETP_0/Primitives,36,59,0,0,0,0,0,0,0,0,3,0,0,0
MSS_SUBSYSTEM_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,0,0,0,1,0,0,1
MSS_SUBSYSTEM_sb_0/MSS_SUBSYSTEM_sb_MSS_0/Primitives,0,0,0,0,46,3,0,0,0,0,2,1,0,0
Primitives/Primitives,1,0,0,0,25,0,0,0,0,0,0,0,0,0
